callsign,time,lat,lon,velocity,baroaltitude_m,geoaltitude_m,lon_lv95,lat_lv95
ACA883  ,1655714080,47.46605824615995,8.557997483473557,48.41516638675893,403.86,480.06,2684393,1257854
ACA883  ,1655714090,47.47013854980469,8.552444458007812,70.63074443338114,403.86,472.44,2683968,1258302
ACA883  ,1655714100,47.47522903701006,8.5455322265625,85.92600914528806,403.86,472.44,2683439,1258861
ACA883  ,1655714110,47.4814453125,8.537063598632812,90.31972453726851,472.44,533.4000000000001,2682791,1259543
ACA883  ,1655714120,47.48744201660156,8.528892517089844,91.34097729667884,579.12,647.7,2682165,1260201
ACA883  ,1655714130,47.49366760253906,8.521202087402344,92.0984080416638,701.0400000000001,777.2400000000001,2681576,1260885
ACA883  ,1655714140,47.5008544921875,8.514541625976562,93.09730904583046,830.58,914.4,2681064,1261677
ACA883  ,1655714150,47.507904052734375,8.508773803710938,93.29041595543114,952.5,1043.94,2680618,1262455
ACA883  ,1655714160,47.51531982421875,8.502456665039062,93.61326032448804,1074.42,1165.86,2680131,1263273
ACA883  ,1655714170,47.52214050292969,8.495246887207031,92.77837443417728,1181.1,1272.5400000000002,2679578,1264024
ACA883  ,1655714180,47.52657615532309,8.485248272235577,90.3153291673161,1287.78,1386.84,2678818,1264507
ACA883  ,1655714190,47.5292296328787,8.47362811748798,91.42930571698386,1409.7,1501.14,2677940,1264790
ACA883  ,1655714200,47.531982421875,8.461875915527344,97.45285832927304,1470.66,1577.34,2677051,1265085
ACA883  ,1655714210,47.53440856933594,8.44903564453125,102.5138588209488,1539.24,1653.54,2676080,1265342
ACA883  ,1655714220,47.53358459472656,8.435440063476562,104.51446127191808,1630.68,1744.98,2675058,1265237
ACA883  ,1655714230,47.52973937988281,8.422599792480469,105.83052142475496,1752.6,1866.9,2674096,1264798
ACA883  ,1655714240,47.525458901615465,8.409611628605768,105.60145753683342,1882.14,2004.06,2673124,1264310
ACA883  ,1655714250,47.52040100097656,8.398292541503906,106.08154619674364,2019.3,2148.84,2672279,1263737
ACA883  ,1655714260,47.51289367675781,8.389091491699219,107.29703639917152,2164.08,2293.62,2671596,1262894
ACA883  ,1655714270,47.504150390625,8.382911682128906,113.23378725619366,2270.76,2415.5400000000004,2671142,1261916
ACA883  ,1655714280,47.49361717094809,8.379117525540865,119.3609860225622,2346.96,2491.74,2670870,1260741
ACA883  ,1655714290,47.48304981296345,8.375737116887018,125.82862765706857,2407.92,2552.7000000000003,2670630,1259564
ACA883  ,1655714300,47.47151184082031,8.371994018554688,132.69165295446788,2476.5,2628.9,2670363,1258277
ACA883  ,1655714310,47.45979309082031,8.368354797363281,137.21871575156888,2567.94,2720.34,2670104,1256971
ACA883  ,1655714320,47.44715803760593,8.364469088040865,141.35232414743166,2651.76,2811.78,2669828,1255563
ACA883  ,1655714330,47.435211181640625,8.360801696777344,143.36752227002964,2720.34,2887.98,2669567,1254232
ACA883  ,1655714340,47.42234569484904,8.35693359375,140.7443946954921,2773.6800000000003,2941.32,2669291,1252798
ACA883  ,1655714350,47.40977659063824,8.352708082932692,140.05731994994164,2819.4,2987.04,2668989,1251397
ACA883  ,1655714360,47.39872741699219,8.345558166503906,138.27447049954782,2865.1200000000003,3040.380000000001,2668464,1250162
ACA883  ,1655714370,47.388702392578125,8.334297180175781,137.59814347726297,2910.84,3086.1000000000004,2667626,1249038
ACA883  ,1655714380,47.38059997558594,8.320083618164062,138.1509645379712,2956.56,3131.82,2666563,1248125
ACA883  ,1655714390,47.374862412274894,8.304818960336538,138.2715995208087,3009.9,3185.1600000000003,2665418,1247474
ACA883  ,1655714400,47.369476318359375,8.288017272949219,138.62332921108538,3032.76,3215.6400000000003,2664155,1246861
ACA883  ,1655714410,47.365997314453125,8.270439147949219,138.62523834721884,3040.38,3223.26,2662832,1246460
